id_area;id_programa;nome_programa;ies;id_instituicao;inicio_mestrado;inicio_doutorado;conceito_recomendado
1;31008011001P9;MATEM?TICA;IMPA-OS;63;1962;1962;7
1;33003017003P5;MATEM?TICA;UNICAMP;182;1972;1976;7
1;33002010007P4;ESTAT?STICA;USP;249;1970;1970;7
1;53001010003P2;MATEM?TICA;UNB;157;1971;1975;7
1;33002010005P1;MATEM?TICA;USP;249;1970;1970;6
1;33002045003P5;MATEM?TICA;USP/SC;254;1970;1970;6
1;31001017003P7;MATEM?TICA;UFRJ;137;1970;1972;6
1;33003017004P1;MATEM?TICA APLICADA;UNICAMP;182;1977;1990;5
1;25001019003P0;MATEM?TICA;UFPE;131;1967;1984;5
1;42001013003P8;MATEM?TICA;UFRGS;136;1978;1995;5
1;31005012003P2;MATEM?TICA;PUC-RIO;83;1969;1974;5
1;33001014007P8;MATEM?TICA;UFSCAR;143;1987;1996;5
1;22001018003P1;MATEM?TICA;UFC;115;1965;1995;5
1;32001010003P0;MATEM?TICA;UFMG;124;1971;2001;5
1;33002010006P8;MATEM?TICA APLICADA;USP;249;1970;1970;5
1;31001017005P0;ESTAT?STICA;UFRJ;137;1981;2001;5
1;33003017006P4;ESTAT?STICA;UNICAMP;182;1977;2006;4
1;33004153071P0;MATEM?TICA APLICADA;UNESP/SJRP;177;1998;;4
1;32001010053P7;ESTAT?STICA;UFMG;124;1996;2005;4
1;25001019048P3;ESTAT?STICA;UFPE;131;1996;2007;4
1;52001016001P3;MATEM?TICA;UFG;119;1973;;4
1;41001010001P6;MATEM?TICA E COMPUTA??O CIENT?FICA;UFSC;142;1976;;4
1;40004015013P7;MATEM?TICA;UEM;102;1999;;4
1;31003010003P3;MATEM?TICA;UFF;118;1969;;4
1;42001013063P0;MATEM?TICA APLICADA;UFRGS;136;1995;2000;4
1;33004153047P1;MATEM?TICA;UNESP/SJRP;177;1989;;4
1;40001016041P1;MATEM?TICA APLICADA;UFPR;133;2002;;4
1;33001014017P3;ESTAT?STICA;UFSCAR;143;1997;2006;3
1;31001017109P0;MATEM?TICA APLICADA;UFRJ;137;1996;;3
1;24001015035P6;MATEM?TICA;UFPB/J.P.;130;1994;;3
1;26001012015P0;MATEM?TICA;UFAL;112;2004;;3
1;23001011042P0;MATEM?TICA APLICADA E ESTATISTICA;UFRN;138;2006;;3
1;24009016012P7;MATEM?TICA;UFCG;116;2003;;3
1;15001016041P0;MATEM?TICA E ESTAT?STICA;UFPA;128;2004;;3
1;28001010003P1;MATEM?TICA;UFBA;114;1969;;3
1;12001015015P1;MATEM?TICA;UFAM;113;1998;;3
1;30001013023P5;MATEM?TICA;UFES;117;2006;;3
2;31005012004P9;INFORM?TICA;PUC-RIO;83;1967;1975;7
2;31001017004P3;ENGENHARIA DE SISTEMAS E COMPUTA??O;UFRJ;137;1971;1971;7
2;25001019004P6;CI?NCIAS DA COMPUTA??O;UFPE;131;1975;1992;6
2;32001010004P6;CI?NCIAS DA COMPUTA??O;UFMG;124;1974;1990;6
2;42001013004P4;COMPUTA??O;UFRGS;136;1973;1988;6
